file_name,cmp_ratio,abs_mean_uncmp,min_uncmp,max_uncmp,mean_uncmp,cmp_time,read_time,write_time,tot_time,
DF__UTC_20201111_013658/DF__UTC_20201111_013658.642.h5,4.24806,438.661,-22350,22589,-0.0984384,1685,8798,2450,18044,
DF__UTC_20201111_013858/DF__UTC_20201111_013858.642.h5,4.24782,439.369,-23519,22988,-0.0616068,1719,10444,270,17514,
DF__UTC_20201111_014058/DF__UTC_20201111_014058.642.h5,4.248,437.162,-22340,23065,-0.0809273,1720,9488,265,16515,
DF__UTC_20201111_014358/DF__UTC_20201111_014358.642.h5,4.24781,425.688,-23788,23661,-0.0926211,1677,8705,366,15757,
DF__UTC_20201111_013958/DF__UTC_20201111_013958.642.h5,4.248,436.314,-22630,22432,-0.0363759,1776,10090,1929,19000,
DF__UTC_20201111_014158/DF__UTC_20201111_014158.642.h5,4.24773,428.838,-24235,22999,-0.122394,1748,8836,1850,17454,
DF__UTC_20201111_014258/DF__UTC_20201111_014258.642.h5,4.24776,424.121,-23852,23048,-0.0231683,1796,8551,2412,18053,
DF__UTC_20201111_014458/DF__UTC_20201111_014458.642.h5,4.24776,421.624,-23859,23122,-0.0555978,1664,8733,2017,17680,
DF__UTC_20201111_014558/DF__UTC_20201111_014558.642.h5,4.24793,430.259,-23155,24358,-0.13199,1710,8507,2231,17458,
DF__UTC_20201111_014658/DF__UTC_20201111_014658.642.h5,4.24787,415.883,-23654,23309,-0.154152,1647,8273,1805,16825,
DF__UTC_20201111_014758/DF__UTC_20201111_014758.642.h5,4.24758,419.577,-24334,24445,-0.518221,1730,8682,1793,17344,
DF__UTC_20201111_014958/DF__UTC_20201111_014958.642.h5,4.24752,421.547,-24441,24680,-0.500051,1725,8569,279,15647,
DF__UTC_20201111_014858/DF__UTC_20201111_014858.642.h5,4.24725,428.79,-25022,24625,-0.830857,1709,8676,2291,17793,
DF__UTC_20201111_015058/DF__UTC_20201111_015058.642.h5,4.24801,419.335,-22647,22798,0.362252,1700,8456,267,15494,
DF__UTC_20201111_015158/DF__UTC_20201111_015158.642.h5,4.24797,439.371,-22850,23910,0.0734619,1757,8446,2186,17468,
DF__UTC_20201111_015258/DF__UTC_20201111_015258.642.h5,4.248,428.047,-22783,23068,0.0761261,1706,8443,2064,17293,
DF__UTC_20201111_015458/DF__UTC_20201111_015458.642.h5,4.24781,414.178,-23785,23401,0.163019,1702,8534,263,15575,
DF__UTC_20201111_015358/DF__UTC_20201111_015358.642.h5,4.24789,423.081,-23314,22688,0.188324,1764,8441,2015,17270,
DF__UTC_20201111_015558/DF__UTC_20201111_015558.642.h5,4.24774,422.706,-23917,22872,0.228984,1695,8516,1684,17094,
DF__UTC_20201111_015658/DF__UTC_20201111_015658.642.h5,4.24791,412.166,-23228,24294,0.231243,1745,8487,1855,17171,
DF__UTC_20201111_015758/DF__UTC_20201111_015758.642.h5,4.24772,438.262,-24052,23322,0.223505,1665,8455,2067,17287,
DF__UTC_20201111_015858/DF__UTC_20201111_015858.642.h5,4.24786,451.269,-22945,22922,0.294034,1729,8330,2170,17201,
DF__UTC_20201111_020058/DF__UTC_20201111_020058.642.h5,4.24761,485.257,-23919,24122,0.0987878,1676,8551,356,15546,
DF__UTC_20201111_020158/DF__UTC_20201111_020158.642.h5,4.24769,490.821,-23549,23816,0.110708,1798,8731,258,15866,
DF__UTC_20201111_015958/DF__UTC_20201111_015958.642.h5,4.24791,476.743,-23054,22744,0.25883,1835,8766,1782,17559,
DF__UTC_20201111_020258/DF__UTC_20201111_020258.642.h5,4.24769,512.247,-23421,23645,0.155293,1794,8604,2036,17536,
DF__UTC_20201111_020358/DF__UTC_20201111_020358.642.h5,4.24685,524.401,-24406,24772,-0.31629,1726,8434,2325,17640,
DF__UTC_20201111_020458/DF__UTC_20201111_020458.642.h5,4.24669,527.472,-24911,24828,-0.541568,1704,8296,2162,17287,
DF__UTC_20201111_020558/DF__UTC_20201111_020558.642.h5,4.24763,508.889,-23674,23739,0.259296,1746,8538,1949,17358,
DF__UTC_20201111_020758/DF__UTC_20201111_020758.642.h5,4.24763,520.569,-23747,23127,0.361236,1721,8384,266,15437,
DF__UTC_20201111_020658/DF__UTC_20201111_020658.642.h5,4.24794,511.593,-22538,22579,0.343987,1735,8443,2168,17510,
DF__UTC_20201111_020858/DF__UTC_20201111_020858.642.h5,4.24779,508.304,-23607,23362,0.423863,1695,8713,266,15774,
DF__UTC_20201111_020958/DF__UTC_20201111_020958.642.h5,4.24774,495.474,-23296,23165,0.371244,1693,8191,258,15200,
DF__UTC_20201111_021058/DF__UTC_20201111_021058.642.h5,4.24791,482.812,-22920,23890,0.391154,1737,8430,281,15528,
DF__UTC_20201111_021358/DF__UTC_20201111_021358.642.h5,4.248,441.259,-22787,23553,0.204517,1718,8565,266,15605,
DF__UTC_20201111_021458/DF__UTC_20201111_021458.642.h5,4.24788,436.067,-23418,22367,0.0781469,1711,8808,265,15842,
DF__UTC_20201111_021158/DF__UTC_20201111_021158.642.h5,4.24779,479.915,-23830,22772,0.415666,1754,8670,2109,17719,
DF__UTC_20201111_021558/DF__UTC_20201111_021558.642.h5,4.24778,424.619,-23951,23391,0.0675565,1699,8648,268,15873,
DF__UTC_20201111_021258/DF__UTC_20201111_021258.642.h5,4.24777,478.234,-23920,23794,0.30528,1749,8396,2328,17522,
DF__UTC_20201111_021658/DF__UTC_20201111_021658.642.h5,4.24782,422.913,-23363,24134,0.108127,1728,8925,268,16050,
DF__UTC_20201111_021758/DF__UTC_20201111_021758.642.h5,4.24735,419.877,-24876,25040,-0.813205,1699,8420,254,15456,
DF__UTC_20201111_021958/DF__UTC_20201111_021958.642.h5,4.24794,413.971,-22856,22659,0.412225,1724,8488,259,15519,
DF__UTC_20201111_022058/DF__UTC_20201111_022058.642.h5,4.24799,418.562,-22694,22728,0.170117,1670,8452,264,15450,
DF__UTC_20201111_021858/DF__UTC_20201111_021858.642.h5,4.24741,419.197,-24773,24652,-0.4462,1714,8768,2183,17799,
DF__UTC_20201111_022558/DF__UTC_20201111_022558.642.h5,4.24797,390.473,-22989,23108,0.382715,1704,8397,258,15360,
DF__UTC_20201111_022258/DF__UTC_20201111_022258.642.h5,4.24782,414.159,-23625,23636,0.245106,1733,8453,1843,17065,
DF__UTC_20201111_022158/DF__UTC_20201111_022158.642.h5,4.24794,407.674,-23089,22394,0.169107,1728,8633,2396,17868,
DF__UTC_20201111_022458/DF__UTC_20201111_022458.642.h5,4.24801,398.455,-22536,22604,0.276776,1695,8486,2169,17499,
DF__UTC_20201111_022358/DF__UTC_20201111_022358.642.h5,4.24784,412.667,-23477,22436,0.288909,1695,8756,2413,18108,
DF__UTC_20201111_022758/DF__UTC_20201111_022758.642.h5,4.248,390.131,-22569,22561,0.351695,1725,8490,257,15483,
DF__UTC_20201111_022658/DF__UTC_20201111_022658.642.h5,4.24801,395.105,-22690,22986,0.305338,1710,8723,2813,18414,
DF__UTC_20201111_022858/DF__UTC_20201111_022858.642.h5,4.24791,390.723,-23066,23099,0.21746,1730,8775,272,15915,
DF__UTC_20201111_022958/DF__UTC_20201111_022958.642.h5,4.24776,386.895,-24174,22822,0.133124,1737,8387,272,15507,
DF__UTC_20201111_023058/DF__UTC_20201111_023058.642.h5,4.24764,390.718,-24536,25049,0.23872,1741,8595,1913,17413,
DF__UTC_20201111_023258/DF__UTC_20201111_023258.642.h5,4.24765,396.463,-24052,24835,-0.115618,1711,8765,268,15951,
DF__UTC_20201111_023358/DF__UTC_20201111_023358.642.h5,4.24785,397.32,-23840,22719,0.755603,1704,8664,283,15838,
DF__UTC_20201111_023158/DF__UTC_20201111_023158.642.h5,4.24746,398.008,-24634,24487,-0.681499,1738,8582,2109,17525,
DF__UTC_20201111_023458/DF__UTC_20201111_023458.642.h5,4.24777,418.952,-23895,22765,0.33076,1757,8441,277,15651,
DF__UTC_20201111_023558/DF__UTC_20201111_023558.642.h5,4.24801,397.822,-22599,23731,0.250336,1672,8517,2456,17706,
DF__UTC_20201111_023658/DF__UTC_20201111_023658.642.h5,4.24799,399.082,-22657,22290,0.450496,1671,8275,1907,16891,
DF__UTC_20201111_023758/DF__UTC_20201111_023758.642.h5,4.24808,396.407,-22226,24469,0.407882,1708,8386,260,15394,
DF__UTC_20201111_023858/DF__UTC_20201111_023858.642.h5,4.2479,402.29,-23388,23621,0.490381,1715,8335,2179,17283,
DF__UTC_20201111_024058/DF__UTC_20201111_024058.642.h5,4.24788,422.718,-23409,23256,0.420451,1719,8401,269,15483,
